country_code,year,paper_pulp_prod_tonnes,paper_pulp_export_tonnes,paper_pulp_import_tonnes,wood_pulp_production_tonnes,wood_pulp_export_tonnes,wood_pulp_import_tonnes,paper_price,wood_pulp_price
CHN,2020,18275201.0,21889.0,26519807.0,15000.0,488.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,26519807.0,15000.0,488.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,149752.0,14865201.0,182958.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,149752.0,14865201.0,182958.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,149752.0,14865201.0,182958.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,149752.0,14865201.0,21696.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,149752.0,14865201.0,21696.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,149752.0,14865201.0,21696.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,149752.0,14865201.0,488.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,149752.0,14865201.0,488.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,149752.0,14865201.0,488.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,149752.0,15000.0,182958.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,149752.0,15000.0,182958.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,149752.0,15000.0,182958.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,149752.0,15000.0,21696.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,149752.0,15000.0,21696.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,149752.0,15000.0,21696.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,149752.0,15000.0,488.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,149752.0,15000.0,488.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,149752.0,15000.0,488.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,0.0,14865201.0,182958.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,0.0,14865201.0,182958.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,0.0,14865201.0,182958.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,0.0,14865201.0,21696.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,0.0,14865201.0,21696.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,0.0,14865201.0,21696.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,0.0,14865201.0,488.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,0.0,14865201.0,488.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,0.0,14865201.0,488.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,0.0,15000.0,182958.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,0.0,15000.0,182958.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,0.0,15000.0,182958.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,0.0,15000.0,21696.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,0.0,15000.0,21696.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,0.0,15000.0,21696.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,0.0,15000.0,488.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,0.0,15000.0,488.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,0.0,15000.0,488.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,26519807.0,14865201.0,182958.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,26519807.0,14865201.0,182958.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,26519807.0,14865201.0,182958.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,26519807.0,14865201.0,21696.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,26519807.0,14865201.0,21696.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,26519807.0,14865201.0,21696.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,26519807.0,14865201.0,488.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,26519807.0,14865201.0,488.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,26519807.0,14865201.0,488.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,26519807.0,15000.0,182958.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,26519807.0,15000.0,182958.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,26519807.0,15000.0,182958.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,26519807.0,15000.0,21696.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,26519807.0,15000.0,21696.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,26519807.0,15000.0,21696.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,26519807.0,15000.0,488.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,26519807.0,15000.0,488.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,26519807.0,15000.0,488.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,149752.0,14865201.0,182958.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,149752.0,14865201.0,182958.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,149752.0,14865201.0,182958.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,149752.0,14865201.0,21696.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,149752.0,14865201.0,21696.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,149752.0,14865201.0,21696.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,149752.0,14865201.0,488.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,149752.0,14865201.0,488.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,149752.0,14865201.0,488.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,149752.0,15000.0,182958.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,149752.0,15000.0,182958.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,149752.0,15000.0,182958.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,149752.0,15000.0,21696.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,149752.0,15000.0,21696.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,149752.0,15000.0,21696.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,149752.0,15000.0,488.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,149752.0,15000.0,488.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,149752.0,15000.0,488.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,0.0,14865201.0,182958.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,0.0,14865201.0,182958.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,0.0,14865201.0,182958.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,0.0,14865201.0,21696.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,0.0,14865201.0,21696.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,0.0,14865201.0,21696.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,0.0,14865201.0,488.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,0.0,14865201.0,488.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,0.0,14865201.0,488.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,0.0,15000.0,182958.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,0.0,15000.0,182958.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,0.0,15000.0,182958.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,0.0,15000.0,21696.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,0.0,15000.0,21696.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,0.0,15000.0,21696.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,0.0,15000.0,488.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,0.0,15000.0,488.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,0.0,0.0,15000.0,488.0,104233.0,190.98333333333335,141.64166666666668
COL,2020,419000.0,4867.0,148706.0,242000.0,1629.0,149519.0,190.98333333333335,141.64166666666668
CRI,2020,171000.0,12.0,13636.0,,0.0,13419.0,190.98333333333335,141.64166666666668
HRV,2020,45108.0,44510.0,262.0,45108.0,44503.0,225.0,190.98333333333335,141.64166666666668
CUB,2020,100.0,,4137.0,,,4137.0,190.98333333333335,141.64166666666668
CYP,2020,0.0,0.0,337.0,0.0,0.0,337.0,190.98333333333335,141.64166666666668
CZE,2020,1031278.0,56069.0,221318.0,852000.0,324226.0,231273.0,190.98333333333335,141.64166666666668
DNK,2020,4830.0,26263.0,53452.0,4830.0,3342.0,55297.0,190.98333333333335,141.64166666666668
ECU,2020,16000.0,31.0,29883.0,,31.0,28374.0,190.98333333333335,141.64166666666668
EGY,2020,161000.0,377.0,533145.0,41000.0,377.0,533449.0,190.98333333333335,141.64166666666668
EST,2020,231000.0,199129.0,44322.0,231000.0,197756.0,47375.0,190.98333333333335,141.64166666666668
SWZ,2020,0.0,956.0,0.0,0.0,744.0,,190.98333333333335,141.64166666666668
ETH,2020,9400.0,6.0,7199.0,,3.0,7704.0,190.98333333333335,141.64166666666668
FIN,2020,10120000.0,4130560.0,218619.0,10520000.0,4332954.0,223541.0,190.98333333333335,141.64166666666668
FRA,2020,1611000.0,449470.0,1753390.0,1620000.0,550716.0,1750375.0,190.98333333333335,141.64166666666668
GEO,2020,0.0,0.0,51.0,0.0,0.0,47.0,190.98333333333335,141.64166666666668
DEU,2020,2319897.0,1141000.0,3687000.0,2254632.0,1146000.0,4034000.0,190.98333333333335,141.64166666666668
GRC,2020,0.0,1245.0,112028.0,0.0,1242.0,111814.0,190.98333333333335,141.64166666666668
HND,2020,0.0,0.0,843.0,0.0,0.0,842.0,190.98333333333335,141.64166666666668
HUN,2020,0.0,6787.0,140292.0,21000.0,1865.0,139821.0,190.98333333333335,141.64166666666668
ISL,2020,0.0,0.0,0.0,0.0,0.0,0.0,190.98333333333335,141.64166666666668
IND,2020,6126800.0,3911.0,965402.0,3361800.0,2127.0,1391107.0,190.98333333333335,141.64166666666668
IDN,2020,8189000.0,5080486.0,1058922.0,8651786.0,5955324.0,1358603.0,190.98333333333335,141.64166666666668
IRN,2020,260000.0,657.0,84308.0,211500.0,515.0,85451.0,190.98333333333335,141.64166666666668
IRQ,2020,2000.0,29.0,7307.0,,29.0,7307.0,190.98333333333335,141.64166666666668
IRL,2020,0.0,36.0,5045.0,0.0,36.0,40835.0,190.98333333333335,141.64166666666668
ISR,2020,15000.0,0.0,153532.0,0.0,0.0,153535.0,190.98333333333335,141.64166666666668
ITA,2020,425471.0,78083.0,3291997.0,222581.0,77077.0,3270840.0,190.98333333333335,141.64166666666668
JPN,2020,7071000.0,237889.0,1447601.0,7241000.0,344915.0,1514373.0,190.98333333333335,141.64166666666668
JOR,2020,8000.0,1498.0,98647.0,,1491.0,98591.0,190.98333333333335,141.64166666666668
KAZ,2020,2255.0,605.0,14912.0,0.0,0.0,14741.0,190.98333333333335,141.64166666666668
KEN,2020,0.0,8.0,10815.0,0.0,11.0,10908.0,190.98333333333335,141.64166666666668
KGZ,2020,0.0,0.0,16.0,0.0,0.0,30.0,190.98333333333335,141.64166666666668
LVA,2020,0.0,11.0,955.0,0.0,0.0,944.0,190.98333333333335,141.64166666666668
LIE,2020,0.0,0.0,0.0,0.0,0.0,0.0,190.98333333333335,141.64166666666668
LTU,2020,0.0,11394.0,43775.0,0.0,11358.0,43580.0,190.98333333333335,141.64166666666668
LUX,2020,0.0,76.0,390.0,0.0,9.0,434.0,190.98333333333335,141.64166666666668
MDG,2020,2000.0,0.0,610.0,,0.0,628.0,190.98333333333335,141.64166666666668
MYS,2020,131000.0,17305.0,167555.0,131000.0,17069.0,167081.0,190.98333333333335,141.64166666666668
MLT,2020,0.0,0.0,0.0,0.0,0.0,0.0,190.98333333333335,141.64166666666668
MUS,2020,0.0,41.0,49.0,0.0,36.0,135.0,190.98333333333335,141.64166666666668
MEX,2020,138900.0,39.0,901461.0,121900.0,57.0,901222.0,190.98333333333335,141.64166666666668
MNE,2020,0.0,0.0,10.0,0.0,0.0,10.0,190.98333333333335,141.64166666666668
MAR,2020,5000.0,546.0,42566.0,70000.0,605.0,42563.0,190.98333333333335,141.64166666666668
MMR,2020,1000.0,8.0,2349.0,,8.0,2502.0,190.98333333333335,141.64166666666668
NPL,2020,15000.0,140.0,906.0,,155.0,909.0,190.98333333333335,141.64166666666668
NLD,2020,37000.0,696500.0,1807200.0,37000.0,682200.0,1804771.0,190.98333333333335,141.64166666666668
NZL,2020,1290000.0,904619.0,53150.0,1290000.0,905698.0,52849.0,190.98333333333335,141.64166666666668
NGA,2020,23000.0,144.0,27404.0,23000.0,144.0,27323.0,190.98333333333335,141.64166666666668
MKD,2020,0.0,169.0,180.0,0.0,57.0,67.0,190.98333333333335,141.64166666666668
NOR,2020,826000.0,202930.0,68611.0,983000.0,353164.0,68348.0,190.98333333333335,141.64166666666668
PAK,2020,452000.0,235.0,290131.0,82000.0,129.0,290241.0,190.98333333333335,141.64166666666668
PER,2020,0.0,1913.0,144805.0,0.0,1194.0,144741.0,190.98333333333335,141.64166666666668
PHL,2020,33000.0,31211.0,70923.0,0.0,0.0,70217.0,190.98333333333335,141.64166666666668
POL,2020,1776500.0,138560.0,1182672.0,1716500.0,143389.0,1195261.0,190.98333333333335,141.64166666666668
PRT,2020,2591600.0,1228903.0,143274.0,2683100.0,1329493.0,142981.0,190.98333333333335,141.64166666666668
ROU,2020,0.0,16314.0,141619.0,0.0,16311.0,141029.0,190.98333333333335,141.64166666666668
RUS,2020,8865000.0,2444400.0,215045.0,8765000.0,2444127.0,211066.0,190.98333333333335,141.64166666666668
SRB,2020,0.0,121.0,82000.0,0.0,110.0,85900.0,190.98333333333335,141.64166666666668
SYC,2020,0.0,0.0,0.0,0.0,0.0,0.0,190.98333333333335,141.64166666666668
SVK,2020,688592.0,313238.0,161623.0,686692.0,311606.0,162223.0,190.98333333333335,141.64166666666668
SVN,2020,89000.0,14753.0,289108.0,89000.0,14751.0,288947.0,190.98333333333335,141.64166666666668
ZAF,2020,1037916.0,199445.0,152148.0,1994386.0,1060310.0,151913.0,190.98333333333335,141.64166666666668
ESP,2020,1365083.0,944961.0,1035571.0,1425083.0,929314.0,1046749.0,190.98333333333335,141.64166666666668
LKA,2020,21100.0,24.0,5873.0,2600.0,23.0,5310.0,190.98333333333335,141.64166666666668
SWE,2020,11566929.0,3951280.0,618358.0,12034000.0,4331481.0,625740.0,190.98333333333335,141.64166666666668
CHE,2020,72139.0,4189.0,102579.0,72139.0,360.0,99204.0,190.98333333333335,141.64166666666668
TJK,2020,0.0,0.0,19.0,0.0,0.0,14.0,190.98333333333335,141.64166666666668
THA,2020,1191000.0,170166.0,384793.0,1074000.0,222789.0,508775.0,190.98333333333335,141.64166666666668
TTO,2020,0.0,49.0,8432.0,,49.0,9246.0,190.98333333333335,141.64166666666668
TUN,2020,2000.0,1442.0,61331.0,,1450.0,61697.0,190.98333333333335,141.64166666666668
TUR,2020,123000.0,67199.0,1424018.0,70000.0,67132.0,1424018.0,190.98333333333335,141.64166666666668
TKM,2020,0.0,0.0,1939.0,0.0,0.0,1938.0,190.98333333333335,141.64166666666668
UKR,2020,0.0,99.0,72449.0,0.0,78.0,76052.0,190.98333333333335,141.64166666666668
USA,2020,49903029.0,7172341.0,5508507.0,50871015.0,7806435.0,5661107.0,190.98333333333335,141.64166666666668
URY,2020,2792781.0,2782667.0,6166.0,2792781.0,2782667.0,6284.0,190.98333333333335,141.64166666666668
UZB,2020,21358.0,19387.0,13826.0,0.0,0.0,13648.0,190.98333333333335,141.64166666666668
VNM,2020,460000.0,6414.0,392768.0,540000.0,6445.0,391451.0,190.98333333333335,141.64166666666668
ZWE,2020,0.0,25.0,621.0,,25.0,597.0,190.98333333333335,141.64166666666668
AFG,2020,,22.0,233.0,,38.0,245.0,190.98333333333335,141.64166666666668
ASM,2020,,562.0,,,562.0,,190.98333333333335,141.64166666666668
BHS,2020,,199.0,33.0,,199.0,23.0,190.98333333333335,141.64166666666668
